frame,green_ratio,sharpness,sharpness_norm,combined
frame_000610.jpg,0.8557,106.7,0.0956,0.5516
frame_002060.jpg,0.7424,295.2,0.2646,0.5513
frame_000560.jpg,0.7006,365.0,0.3272,0.5512
frame_002900.jpg,0.8195,158.9,0.1424,0.5487
frame_003390.jpg,0.7089,343.7,0.3081,0.5485
frame_002040.jpg,0.7638,249.4,0.2235,0.5477
frame_002080.jpg,0.7441,274.6,0.2462,0.5449
frame_001880.jpg,0.5727,561.4,0.5032,0.5449
frame_001300.jpg,0.4443,771.0,0.6911,0.5430
frame_000510.jpg,0.7596,243.1,0.2180,0.5429
frame_001930.jpg,0.7175,313.0,0.2806,0.5427
frame_000500.jpg,0.7598,238.9,0.2141,0.5415
frame_002840.jpg,0.8527,82.3,0.0737,0.5411
frame_000590.jpg,0.7743,211.8,0.1899,0.5405
frame_002070.jpg,0.7522,248.6,0.2229,0.5405
frame_000640.jpg,0.7657,225.7,0.2023,0.5403
frame_001540.jpg,0.6302,450.2,0.4035,0.5395
frame_002170.jpg,0.7507,248.4,0.2226,0.5395
frame_003800.jpg,0.5351,605.8,0.5430,0.5383
frame_002680.jpg,0.6458,419.6,0.3762,0.5380
frame_002000.jpg,0.6796,362.0,0.3245,0.5375
frame_001280.jpg,0.3595,895.5,0.8027,0.5368
frame_000690.jpg,0.6928,335.4,0.3006,0.5359
frame_003790.jpg,0.5075,645.1,0.5783,0.5358
frame_003780.jpg,0.5100,639.3,0.5731,0.5352
frame_001990.jpg,0.6898,336.5,0.3017,0.5345
frame_000580.jpg,0.7244,278.2,0.2494,0.5344
frame_002620.jpg,0.6010,483.5,0.4334,0.5339
frame_002850.jpg,0.8270,99.8,0.0894,0.5320
frame_000650.jpg,0.7237,272.5,0.2443,0.5319
frame_001520.jpg,0.5924,492.1,0.4411,0.5319
frame_002640.jpg,0.6006,468.0,0.4195,0.5282
frame_000480.jpg,0.6489,384.3,0.3445,0.5272
frame_000050.jpg,0.4656,690.6,0.6191,0.5270
frame_002910.jpg,0.8079,117.4,0.1052,0.5268
frame_002670.jpg,0.6042,453.8,0.4068,0.5253
frame_001870.jpg,0.5851,485.3,0.4350,0.5250
frame_000820.jpg,0.5887,479.0,0.4294,0.5249
frame_000620.jpg,0.8406,57.0,0.0511,0.5248
frame_000490.jpg,0.6831,319.5,0.2864,0.5244
frame_000460.jpg,0.6108,438.4,0.3929,0.5237
frame_003770.jpg,0.5095,606.1,0.5433,0.5230
frame_002950.jpg,0.7169,256.3,0.2297,0.5220
frame_001550.jpg,0.6346,393.7,0.3529,0.5219
frame_000550.jpg,0.6620,345.6,0.3098,0.5212
frame_000520.jpg,0.7288,232.0,0.2079,0.5205
frame_002650.jpg,0.6144,421.9,0.3782,0.5199
frame_000100.jpg,0.3798,813.6,0.7293,0.5196
frame_001510.jpg,0.5647,504.1,0.4519,0.5196
frame_001490.jpg,0.5621,507.9,0.4552,0.5194
frame_001860.jpg,0.5955,450.2,0.4036,0.5187
frame_000660.jpg,0.7745,149.5,0.1340,0.5183
frame_000910.jpg,0.3935,785.2,0.7038,0.5176
frame_002630.jpg,0.6068,426.6,0.3824,0.5171
frame_001290.jpg,0.3789,806.9,0.7233,0.5167
frame_002160.jpg,0.7992,103.2,0.0925,0.5165
frame_002660.jpg,0.6064,421.5,0.3778,0.5150
frame_000730.jpg,0.7499,180.9,0.1621,0.5148
frame_001850.jpg,0.6140,407.4,0.3652,0.5145
frame_000330.jpg,0.4568,667.9,0.5987,0.5136
frame_001560.jpg,0.6444,353.5,0.3169,0.5134
frame_001500.jpg,0.5565,500.0,0.4482,0.5132
frame_003400.jpg,0.6363,365.0,0.3271,0.5126
frame_000900.jpg,0.3910,773.7,0.6935,0.5120
frame_000470.jpg,0.6279,376.9,0.3378,0.5119
frame_001570.jpg,0.6607,321.4,0.2881,0.5117
frame_000680.jpg,0.7353,194.4,0.1742,0.5109
frame_002960.jpg,0.7171,223.1,0.2000,0.5103
frame_001030.jpg,0.3790,786.8,0.7052,0.5095
frame_003720.jpg,0.5626,477.4,0.4280,0.5088
frame_001460.jpg,0.4731,626.6,0.5616,0.5085
frame_000770.jpg,0.5182,550.7,0.4937,0.5084
frame_000720.jpg,0.7520,156.8,0.1405,0.5074
frame_000830.jpg,0.6108,387.2,0.3471,0.5053
frame_001000.jpg,0.3814,771.0,0.6911,0.5053
frame_000540.jpg,0.6346,345.2,0.3094,0.5045
frame_001450.jpg,0.4614,633.5,0.5679,0.5040
frame_000760.jpg,0.4879,585.4,0.5247,0.5026
frame_001220.jpg,0.3749,774.3,0.6940,0.5026
frame_003810.jpg,0.5704,446.8,0.4005,0.5024
frame_003760.jpg,0.5141,539.7,0.4837,0.5020
frame_001390.jpg,0.5113,543.5,0.4872,0.5017
frame_002050.jpg,0.6891,244.2,0.2189,0.5010
frame_000420.jpg,0.5549,468.2,0.4197,0.5008
frame_000060.jpg,0.3744,767.5,0.6880,0.4998
frame_001230.jpg,0.3947,731.1,0.6553,0.4989
frame_001470.jpg,0.5046,546.9,0.4902,0.4989
frame_001480.jpg,0.5523,463.2,0.4152,0.4974
frame_003190.jpg,0.6661,271.5,0.2434,0.4970
frame_003730.jpg,0.5247,507.6,0.4550,0.4968
frame_000670.jpg,0.7230,169.0,0.1515,0.4944
frame_000780.jpg,0.5985,374.0,0.3353,0.4932
frame_001140.jpg,0.3822,735.1,0.6589,0.4929
frame_000320.jpg,0.4555,611.1,0.5478,0.4924
frame_000740.jpg,0.7262,149.4,0.1340,0.4893
frame_000810.jpg,0.5646,419.4,0.3760,0.4892
frame_001430.jpg,0.5170,498.8,0.4471,0.4891
